"guid","Size","Containment","DateTime","Structures Threatened","Structures Destroyed","Civilian Injuries","Civilian Fatalities","Structures Damaged","Firefighter Injuries"
"e99e8f94-021d-4e28-9308-c4574893755f","23,713","31%","2025-01-17T08:21","12,250","3,501","3","8","603",""
"cfd1c88a-ef55-49a3-9394-019282635c35","23,713","31%","2025-01-17T11:23","12,250","3,501","3","8","603",""
"30b12e9f-201f-4db7-ab43-3612ce31a587","23,713","31%","2025-01-17T11:26","12,250","3,501","3","8","603",""
"70133027-1de1-417e-9d63-c72ffa5341ca","23,713","31%","2025-01-17T11:28","12,250","3,501","3","8","603",""
"9d305568-6165-4a3a-90b3-418ae802e974","23,713","31%","2025-01-17T11:31","12,250","3,501","3","8","603",""
"f33d5142-e7f4-4af6-8226-70a95a5c3472","23,713","31%","2025-01-17T11:49","12,250","3,501","3","8","603",""
"7a4a17a2-6985-44d3-a7ba-b6e98afde1b4","23,713","31%","2025-01-17T11:50","12,250","3,501","3","8","603",""
"b204df2b-fb46-4281-a6de-5a4309ab2a4e","23,713","31%","2025-01-17T11:53","12,250","3,501","3","8","603",""
"600d16e3-d402-4fae-a555-61536d26b2a9","23,713","31%","2025-01-17T12:04","12,250","3,501","3","8","603",""
"30844795-c687-4533-acf8-0f9d0b11911f","23,713","31%","2025-01-17T12:26","12,250","3,501","3","8","603",""
"6b156a1d-e527-4107-be45-66aac385ff33","23,713","31%","2025-01-17T12:29","12,250","3,501","3","8","603",""
"5dacfa52-08a2-444b-96f6-e273dcabc96f","23,713","31%","2025-01-17T12:31","12,250","3,501","3","8","603",""
"aa93856b-74e7-4c51-a1da-6a42f8caf7e8","23,713","31%","2025-01-17T12:47","12,250","3,501","3","8","603",""
"2b9d880c-6a76-44d2-8fd6-36d3ccd10f09","23,713","31%","2025-01-17T13:00","12,250","3,501","3","8","603",""
"ed093c90-3886-46c5-9eb2-84b3a61584ee","23,713","31%","2025-01-17T13:01","12,250","3,501","3","8","603",""
"3f38d302-1546-4f75-a804-381e859cd42b","23,713","31%","2025-01-17T14:50","12,250","3,501","3","8","603",""
"50d31ef7-77b1-42aa-9fd7-3318277ffe25","23,713","31%","2025-01-17T17:32","12,250","3,501","3","8","606",""
"0d3d782d-c3cb-4318-8af2-b3653db2f14f","23,713","39%","2025-01-17T18:55","12,280","3,797","3","10","617",""
"100a2a20-c46e-40d8-9db2-b6edcf88f0bd","23,713","39%","2025-01-17T18:57","12,280","3,797","3","10","617",""
