"Date","Time","Temperature","Dew Point","Humidity","Wind","Wind Speed","Wind Gust","Pressure","Condition","Precipitation"
"2025-01-17","6:29 AM","47","40","77","E","5","0","30.06","Mostly Cloudy","0.0"
"2025-01-17","6:46 AM","47","39","74","ENE","6","0","30.07","Partly Cloudy","0.0"
"2025-01-17","6:53 AM","47","39","74","ENE","6","0","30.07","Partly Cloudy","0.0"
"2025-01-17","7:53 AM","46","38","73","ENE","8","0","30.07","Mostly Cloudy","0.0"
"2025-01-17","8:53 AM","50","40","68","ENE","6","0","30.08","Mostly Cloudy","0.0"
"2025-01-17","9:53 AM","56","44","64","VAR","7","0","30.09","Mostly Cloudy","0.0"
"2025-01-17","10:53 AM","58","44","60","E","6","0","30.11","Partly Cloudy","0.0"
"2025-01-17","11:53 AM","59","43","55","SSE","6","0","30.11","Mostly Cloudy","0.0"
"2025-01-17","12:53 PM","58","42","56","W","9","0","30.08","Mostly Cloudy","0.0"
"2025-01-17","1:53 PM","58","43","58","WSW","8","0","30.06","Partly Cloudy","0.0"
"2025-01-17","2:53 PM","60","44","55","WSW","9","0","30.03","Partly Cloudy","0.0"
"2025-01-17","3:53 PM","59","43","55","SW","10","23","30.02","Partly Cloudy","0.0"
"2025-01-17","4:53 PM","57","44","62","SW","10","0","30.02","Partly Cloudy","0.0"
"2025-01-17","5:53 PM","56","45","67","WSW","9","0","30.02","Fair","0.0"
"2025-01-17","6:53 PM","54","45","72","WSW","7","0","30.04","Fair","0.0"
"2025-01-17","7:53 PM","54","45","72","W","5","0","30.04","Fair","0.0"
"2025-01-17","8:53 PM","54","45","72","SW","5","0","30.05","Fair","0.0"
"2025-01-17","9:53 PM","53","44","71","CALM","0","0","30.06","Fair","0.0"
"2025-01-17","10:53 PM","52","45","77","E","3","0","30.07","Fair","0.0"
"2025-01-17","11:53 PM","53","45","74","CALM","0","0","30.08","Mostly Cloudy","0.0"
"2025-01-18","12:11 AM","52","39","61","ESE","3","0","30.08","Mostly Cloudy","0.0"
"2025-01-18","12:53 AM","52","44","74","VAR","3","0","30.08","Mostly Cloudy","0.0"
